time,close,high,low,open,volumefrom,volumeto,weighted_price
1465689600,666.55,683.85,592.79,591.6,217379.53,139684630.3,633.6975
1465776000,700.07,718.24,652.78,666.55,216731.32,149442548.7,684.41
1465862400,685.14,702.52,654.69,700.07,135648.79,92458349.24,685.605
1465948800,690.77,695.07,670.45,685.14,78620.97,53863568.9,685.3575
1466035200,761.21,769.73,687.43,690.77,229569.22,169704647,727.285
1466121600,743.9,771.89,704.21,761.21,215870.36,160302360.3,745.3025
1466208000,753.77,776.04,727.13,743.9,120525.37,91056993.79,750.21
1466294400,761.04,765.1,740.38,753.77,60445.37,45805980.62,755.0725
1466380800,733.97,764.6,717.41,761.04,112290.09,83637617.46,744.255
1466467200,667.38,732.23,626.05,733.97,248083.39,166828425.9,689.9075
1466553600,590.56,677.8,586.6,667.38,202320.1,129550795.9,630.585
1466640000,620.84,629.55,539.28,590.56,261739.44,154289129.7,595.0575
1466726400,656.89,687.39,616.41,620.84,196694.45,128990817.1,645.3825
1466812800,663.52,688.1,640.79,656.89,100457.69,67442141.07,662.325
1466899200,625.41,665.19,609.9,663.52,88928.71,56403088.15,641.005
1466985600,644.66,650.34,615.22,625.41,99812.97,63747137.15,633.9075
1467072000,644.89,659.27,634.26,644.66,76657.93,49673830.24,645.77
1467158400,636.54,645.91,621.76,644.89,80218.82,50898093.64,637.275
1467244800,670.02,673.04,631.24,636.54,88203.81,58215062.66,652.71
1467331200,674.57,685.11,661.09,670.02,92227.36,62394480.64,672.6975
1467417600,698.06,700.46,671.46,674.57,67380.47,46555796.93,686.1375
1467504000,661.64,701.49,644.61,698.06,99268.29,66591456.99,676.45
1467590400,675.16,679.03,644.04,661.64,63905.01,42756935.48,664.9675
1467676800,663.67,679.19,657.31,675.16,54642.8,36687264.23,668.8325
1467763200,672.7,678.39,662.24,663.67,47049.5,31708100.51,669.25
1467849600,635.25,676.19,604.95,672.7,153608.21,97639342.03,647.2725
1467936000,662.78,663.43,630.17,635.25,75892.55,49243011.02,647.9075
1468022400,651.83,663.49,620.68,662.78,96013.13,62061207.33,649.695
1468108800,647.11,651.98,636.8,651.83,29256.82,18955766.48,646.93
1468195200,646.71,657.47,639.97,647.11,45941.77,29925667.34,647.815
1468281600,670.56,673.19,644.56,646.71,66591.48,44047499.67,658.755
1468368000,661.15,672.02,656.04,670.56,62958.21,41791464.25,664.9425
1468454400,657.25,661.88,646.31,661.15,48196.92,31748496.83,656.6475
1468540800,664.2,667.46,656.5,657.25,35830.56,23817856.65,661.3525
1468627200,660.69,665.41,655.72,664.2,20385,13557557.05,661.505
1468713600,676.33,680.94,660.13,660.69,46840.6,31614610.5,669.5225
1468800000,670.38,680.42,664.61,676.33,42576.77,28810844.41,672.935
1468886400,671.1,673.24,663.63,670.38,30395.36,20401885.27,669.5875
1468972800,664.4,672.29,659.51,671.1,37562.71,25075066.39,666.825
1469059200,664.62,666.51,657.82,664.4,32164.64,21351309.78,663.3375
1469145600,651.11,669.44,645.69,664.62,65894.84,43283429.35,657.715
1469232000,655.16,658.17,647.98,651.11,29884.68,19544654.54,653.105
1469318400,659.29,664.21,651.03,655.16,29815.62,19642346.73,657.4225
1469404800,654,662.51,651.08,659.29,34383.06,22564554.46,656.72
1469491200,654.38,657.76,643.49,654,49388.21,32177578.58,652.4075
1469577600,654.54,659.08,646.04,654.38,29885.7,19568531.49,653.51
1469664000,654.13,657.96,650.81,654.54,28112.8,18452583.66,654.36
1469750400,655.43,657.4,650.99,654.13,27043.62,17757920.48,654.4875
1469836800,654.74,657.55,652.06,655.43,19354.41,12721755.54,654.945
1469923200,621.87,654.92,621.42,654.74,62887.74,39918066.14,638.2375
1470009600,607,627.89,603.55,621.87,66660.27,41229298.83,615.0775
1470096000,513.43,613.75,471.36,607,130913.66,75338595.54,551.385
1470182400,566.44,573.06,514.09,513.43,85930.35,47170751.56,541.755
1470268800,576.22,584.89,559.5,566.44,44823.44,25725471.16,571.7625
1470355200,574.66,579.97,565.81,576.22,27885.51,15992890.37,574.165
1470441600,586.45,596.68,565.33,574.66,25382.28,14676841.26,580.78
1470528000,590.85,596.01,580.87,586.45,26202.24,15491523.1,588.545
1470614400,589.24,594.24,585.41,590.85,24880.83,14726811.56,589.935
1470700800,585.25,591.2,581.1,589.24,25971.47,15304277.91,586.6975
1470787200,590.94,600.52,580.87,585.25,49568.68,29376783.81,589.395
1470873600,587.84,599.15,585.39,590.94,39824.58,23640952.51,590.83
1470960000,587.14,591.14,582.2,587.84,25501.78,15009452.98,587.08
1471046400,584.59,590.07,582.81,587.14,19303.82,11357750.81,586.1525
1471132800,569.06,585.8,559.93,584.59,33065.8,18970094.63,574.845
1471219200,566.95,574.97,559.28,569.06,33771.15,19218972.96,567.565
1471305600,580.19,583.38,563.38,566.95,37689.33,21634083.15,573.475
1471392000,572.34,581.1,568.66,580.19,32760.8,18886741.55,575.5725
1471478400,573.39,579.53,570.83,572.34,30389.41,17509679.71,574.0225
1471564800,574.56,577.86,566.25,573.39,25530.44,14701426.29,573.015
1471651200,582.61,583.5,572.28,574.56,23119.79,13416843.63,578.2375
1471737600,580.66,585.32,577.84,582.61,14160.18,8294321.53,581.6075
1471824000,587.47,591.9,577.13,580.66,33558.61,19658058.08,584.29
1471910400,583.56,589.87,578.61,587.47,32082.32,18772369.53,584.8775
1471996800,579.66,584.47,576.82,583.56,28057.04,16337141.09,581.1275
1472083200,577.96,580.71,570.81,579.66,32733.65,18885349.63,577.285
1472169600,579.37,582.73,575.83,577.96,21168.38,12329289.75,578.9725
1472256000,570.35,580.41,567.25,579.37,18686.65,10747219.53,574.345
1472342400,574.98,576.32,569.21,570.35,12824.95,7377921.72,572.715
1472428800,574.23,578.61,571.38,574.98,23862.95,13760854.22,574.8
1472515200,577.32,579.94,572.51,574.23,27480.29,15895354.76,576
1472601600,573.88,578.25,571.69,577.32,24933.77,14338795.45,575.285
1472688000,571.99,704.97,569.37,573.88,25872.2,14860164.25,605.0525
1472774400,575.29,577.6,569.3,571.99,26612.15,15315755.66,573.545
1472860800,598.84,604.97,572.64,575.29,35699.73,21055514.22,587.935
1472947200,609.55,615.2,590.78,598.84,30690.03,18646011.82,603.5925
1473033600,605.76,610.61,598.77,609.55,25286.46,15369832.26,606.1725
1473120000,610.44,611.95,603.55,605.76,24324.78,14864563.84,607.925
1473206400,613.21,616.48,606.24,610.44,30033.77,18429525.07,611.5925
1473292800,625.57,629.3,611.25,613.21,36328.29,22710390.64,619.8325
1473379200,623.16,627.58,617.32,625.57,28333.32,17710151.19,623.4075
1473465600,624.52,627.45,621.07,623.16,15279.28,9600113.74,624.05
1473552000,605.61,630.77,592.79,624.52,36543.99,22467346.61,613.4225
1473638400,607.98,610.62,603.03,605.61,27944.86,17058938.65,606.81
1473724800,608.61,612.03,604.87,607.98,27515.13,16850869.45,608.3725
1473811200,609.54,612.16,606.39,608.61,24244.49,14878860.18,609.175
1473897600,608.11,610.73,605.1,609.54,22687.24,13892193.46,608.37
1473984000,607.78,610.36,605.15,608.11,21847.03,13353736.94,607.85
1474070400,607.08,609.61,604.52,607.78,15894.29,9724490.11,607.2475
1474156800,610.7,612.38,605.22,607.08,16329.91,10004923.58,608.845
1474243200,609.85,612.41,606.99,610.7,21236.53,12981851.28,609.9875
1474329600,609.24,611.27,605.93,609.85,22607.66,13809380.94,609.0725
1474416000,597.16,608.82,591.69,609.24,36862.36,22059386.51,601.7275
1474502400,595.63,599.78,592.83,597.16,22441.49,13463966.31,596.35
1474588800,602.92,603.7,594.11,595.63,25921.89,15567036.24,599.09
1474675200,602.59,605.92,600.5,602.92,13472.8,8196210.74,602.9825
1474761600,601.49,604.87,598.35,602.59,13278.03,8038079.81,601.825
1474848000,606.54,608.46,598.17,601.49,27504.57,16700407.53,603.665
1474934400,605.47,608.97,601.73,606.54,25546.7,15534315.77,605.6775
1475020800,604.67,606.9,602.62,605.47,18936.2,11485005.36,604.915
1475107200,604.7,607.23,602.01,604.67,25321.05,15403975.48,604.6525
1475193600,608.14,608.78,602.25,604.7,23952.58,14534745.84,605.9675
1475280000,613.41,615,607.07,608.14,16932.63,10415543.03,610.905
1475366400,610.69,614.21,607.67,613.41,16534.52,10096653.77,611.495
1475452800,611.6,613.2,608.47,610.69,21946.12,13462741.8,610.99
1475539200,608.96,612.68,606.5,611.6,24993.32,15300692.52,609.935
1475625600,611.82,613.65,607.98,608.96,23401.3,14360536.88,610.6025
1475712000,610.97,612.68,608.54,611.82,21625.57,13276337.45,611.0025
1475798400,616.03,619.43,609.12,610.97,32725.06,20167399.2,613.8875
1475884800,617.65,619.56,614.88,616.03,13620.86,8467434,617.03
1475971200,615.77,618.35,613.01,617.65,13430.26,8320759.4,616.195
1476057600,617.29,618.81,612.76,615.77,25230.93,15597892.34,616.1575
1476144000,640.45,642.35,615.6,617.29,55765.89,35367127.91,628.9225
1476230400,635.99,642.51,632.19,640.45,26952.73,17240000.95,637.785
1476316800,635.6,639.52,632.25,635.99,25614.65,16387361.92,635.84
1476403200,637.92,640.46,630.66,635.6,31421.75,20114873.61,636.16
1476489600,637.03,641.4,635.06,637.92,12381.25,7970927.57,637.8525
1476576000,640.12,642.18,636.39,637.03,12886.16,8306925.43,638.93
1476662400,637.37,641.29,634.89,640.12,27691.09,17742610.19,638.4175
1476748800,635.34,639.34,632.23,637.37,24598.13,15725013.13,636.07
1476835200,629.06,637.27,624.09,635.34,35289.02,22379197.69,631.44
1476921600,628.34,630.83,625.48,629.06,20943.99,13252110.98,628.4275
1477008000,630.45,633.26,627.58,628.34,28087.96,17836383.25,629.9075
1477094400,655.48,659.89,629.72,630.45,37097.19,24154228.12,643.885
1477180800,653.03,661.2,648.78,655.48,21907.32,14418212.04,654.6225
1477267200,650.49,654.32,645.68,653.03,33243.05,21726106.55,650.88
1477353600,651,662.54,647.65,650.49,36742.93,24179462.12,652.92
1477440000,674.67,678.39,651.39,651,47670.4,31949607.32,663.8625
1477526400,682.3,687.88,672.26,674.67,46557.39,31862181.34,679.2775
1477612800,686.24,688.43,678.63,682.3,38968.34,26829414,683.9
1477699200,714.95,720.19,685.22,686.24,54028.31,38351348.64,701.65
1477785600,697.27,714.91,689.51,714.95,39328.5,27793236.64,704.16
1477872000,698.67,707.21,682.17,697.27,38046.55,26687188.09,696.33
1477958400,726.76,734.36,695.2,698.67,68064.91,49453950.69,713.7475
1478044800,733.51,735.78,718.14,726.76,39043.27,28452232.03,728.5475
1478131200,684.87,744.43,670.4,733.51,96409.44,69067917.54,708.3025
1478217600,702.08,706.64,681.27,684.87,48235.17,33762721.43,693.715
1478304000,702.11,706.38,694.03,702.08,22018.95,15554565.72,701.15
1478390400,709.91,714.13,697.63,702.11,25809.88,18363567.63,705.945
1478476800,705.4,711.66,698.35,709.91,30743.71,21797370.12,706.33
1478563200,710.9,714.63,700.96,705.4,39732.33,28262235.71,707.9725
1478649600,721.42,741.23,707.13,710.9,70698.2,51548567.54,720.17
1478736000,714.57,723.02,707.31,721.42,33327.52,23931322.76,716.58
1478822400,714.97,719.79,711.67,714.57,25583.38,18386841.21,715.25
1478908800,704.27,717.37,701.08,714.97,27601.81,19677656.63,709.4225
1478995200,701.97,705.61,685.01,704.27,36136.74,25249834.8,699.215
1479081600,704.56,708.03,696.11,701.97,37752.31,26613445.03,702.6675
1479168000,711.1,716.93,697.91,704.56,41401.17,29562740.26,707.625
1479254400,740.28,745.98,708.14,711.1,79569.14,58304902.39,726.375
1479340800,737.53,751.91,730.08,740.28,62772.48,46942756.4,739.95
1479427200,746.96,751.43,730.95,737.53,39708.18,29666065.54,741.7175
1479513600,747.89,755.34,737.44,746.96,25625.82,19276573.28,746.9075
1479600000,728.51,752.26,712.77,747.89,47423.27,34876785.19,735.3575
1479686400,736.19,744.33,726.55,728.51,32508.2,24010681.87,733.895
1479772800,749.34,754.01,730.62,736.19,44441.44,33225195.21,742.54
1479859200,741.07,750.93,731.34,749.34,37869.33,28258203.98,743.17
1479945600,735.31,744.24,726.19,741.07,37239.41,27531777.52,736.7025
1480032000,740.39,741.25,728.97,735.31,28846.87,21299510.69,736.48
1480118400,734.14,740.96,725.62,740.39,22578.17,16682481.58,735.2775
1480204800,729.42,738.29,727.11,734.14,21354.15,15735824.63,732.24
1480291200,733.3,738.1,727.74,729.42,34117.31,25153838.93,732.14
1480377600,732.56,737.04,727.78,733.3,32567.83,24030304.1,732.67
1480464000,742.49,745.39,730.57,732.56,39277.45,29210351.41,737.7525
1480550400,752.63,755.48,741.08,742.49,54029.19,40690942.17,747.92
1480636800,770.94,779.02,752.25,752.63,63217.85,48893613.64,763.71
1480723200,764.24,772.32,755.81,770.94,38445.54,30234128.1,765.8275
1480809600,766.39,769.23,758.8,764.24,19163.97,14755120.48,764.665
1480896000,754.34,769.18,746.01,766.39,51164.97,39082688.28,758.98
1480982400,758.21,762.48,750.91,754.34,33430.33,25497771.6,756.485
1481068800,765.56,769.02,754.27,758.21,34864.8,26755412.58,761.765
1481155200,768.49,773.41,761.17,765.56,28780.25,22208497.22,767.1575
1481241600,770.48,773.48,765.03,768.49,24176.98,18722048.47,769.37
1481328000,774,776.96,769.19,770.48,18017.98,14049110.07,772.6575
1481414400,767.91,774.16,763,774,17140.02,13269086.38,769.7675
1481500800,778.47,781.26,767.86,767.91,28759.72,22442991.37,773.875
1481587200,778.74,790.33,767.77,778.47,33108.65,25894856.06,778.8275
1481673600,776.5,780.77,771.01,778.74,24782.47,19326375.41,776.755
1481760000,775.21,780.27,773.12,776.5,26224.24,20452116.66,776.275
1481846400,782.05,783.94,773.31,775.21,27607.57,21650384.64,778.6275
1481932800,787.17,791.57,779.36,782.05,23581.31,18648778.51,785.0375
1482019200,789.01,791.26,783.8,787.17,14532.68,11525747.48,787.81
1482105600,789.79,793.73,786.31,789.01,25460.54,20238681.94,789.71
1482192000,799.1,800.02,787.12,789.79,34480.19,27406319.09,794.0075
1482278400,829.21,833.13,795.98,799.1,65293.55,53411082.07,814.355
1482364800,860.15,874.68,828.87,829.21,70557.59,60511618.45,848.2275
1482451200,917.17,920.26,858.04,860.15,102224.08,91802931.23,888.905
1482537600,891.07,920.49,880.79,917.17,46030.07,41576781.41,902.38
1482624000,891.07,895.24,851.42,891.07,42483.29,37173377.51,882.2
1482710400,898.38,909.32,885.88,891.07,38787.58,35002753.4,896.1625
1482796800,925.78,937.91,893.38,898.38,49691.61,45966615.06,913.8625
1482883200,972.17,974.51,925.49,925.78,77285.8,73811803.99,949.4875
1482969600,971.08,982.57,949.23,972.17,61124.62,59226667.89,968.7625
1483056000,959.04,971.59,927.4,971.08,70839.81,67449149.3,957.2775
1483142400,963.38,965.47,942.4,959.04,27559.31,26379401.89,957.5725
1483228800,995.44,1001.61,956.1,963.38,41148.52,40570922.99,979.1325
1483315200,1017.05,1031.68,990.2,995.44,64951.63,66038073.34,1008.5925
1483401600,1033.3,1035.47,1006.53,1017.05,54788.01,56085870.7,1023.0875
1483488000,1135.41,1148.54,1022.32,1033.3,156272.17,170584623,1084.8925
1483574400,989.35,1150.63,874.53,1135.41,240007.84,244839289.8,1037.48
1483660800,886.16,1027.42,852.55,989.35,194290.96,179160668.8,938.87
1483747200,888.87,900.86,806.66,886.16,130663.09,113037531.7,870.6375
1483833600,900.86,936.13,875.85,888.87,76905.99,70298340.37,900.4275
1483920000,899.78,910.47,870.91,900.86,62579.5,55963281.18,895.505
1484006400,904.37,911.32,890.12,899.78,53709.46,48644106.82,901.3975
1484092800,785.43,917.65,751.63,904.37,194436.54,160194109.8,839.77
1484179200,810.11,828.21,739.55,785.43,120241.76,93986701.88,790.825
1484265600,824.83,835.05,771,810.11,89861.97,72555875.62,810.2475
1484352000,819.63,838.9,808.27,824.83,44207.74,36594482,822.9075
1484438400,821.17,826.43,808.63,819.63,24401.41,20004735.1,818.965
1484524800,827.34,836.66,817.7,821.17,33222.93,27592899.17,825.7175
1484611200,899.66,906.38,825.04,827.34,82207.99,72272727.15,864.605
1484697600,872.03,913.67,845.87,899.66,69258.17,61042392.11,882.8075
1484784000,895.21,905.28,870.71,872.03,58440.87,52300814.98,885.8075
1484870400,892.91,901.49,878.9,895.21,38865.48,34847130.33,892.1275
1484956800,919.84,928.93,889.46,892.91,40378.21,37129176.59,907.785
1485043200,918.84,938.38,888.62,919.84,47927.32,44074299.79,916.42
1485129600,921.46,927.98,910.85,918.84,32744.43,30261054.5,919.7825
1485216000,893.75,925.61,889.15,921.46,58874.32,53468911.31,907.4925
1485302400,894.41,905.7,883.63,893.75,37902.18,34014866.15,894.3725
1485388800,915.56,919.32,893.49,894.41,33800.2,30795685.98,905.695
1485475200,918.01,922.56,907.92,915.56,30968.49,28503144.41,916.0125
1485561600,918.51,921.89,912.84,918.01,14307.36,13251844.02,917.8125
1485648000,914.55,922.4,912.68,918.51,11052.31,10214368.33,917.035
1485734400,920.73,922.35,911.51,914.55,19062.15,17604172.47,917.285
1485820800,965.49,967.45,917.38,920.73,54670.21,51869216.53,942.7625
1485907200,982.43,986.57,959.82,965.49,45223.3,44035816.37,973.5775
1485993600,1003.97,1009.13,973.5,982.43,50863.87,50633910.56,992.2575
1486080000,1013.02,1023.72,989.21,1003.97,61671.88,62431017.97,1007.48
1486166400,1031.85,1041.04,1000.41,1013.02,39461.62,40406542.54,1021.58
1486252800,1016.11,1033.66,1004.05,1031.85,31058.49,31669956.98,1021.4175
1486339200,1024.67,1030.6,1010.83,1016.11,32019.82,32828350.27,1020.5525
1486425600,1049.56,1054.1,1019.87,1024.67,39553.25,41318349.43,1037.05
1486512000,1055.49,1069.23,1020.33,1049.56,65145.12,68336320.22,1048.6525
1486598400,978.96,1073.03,924.65,1055.49,146746.26,145839317.5,1008.0325
1486684800,997.61,1005.6,947.02,978.96,62132.99,60639111.4,982.2975
1486771200,1008.32,1014.32,983.93,997.61,28319.39,28504495.1,1001.045
1486857600,996.52,1007.82,992.45,1008.32,14750.39,14825023.07,1001.2775
1486944000,995.36,1007.61,975.1,996.52,32908.63,32785064.4,993.6475
1487030400,1008.34,1013.8,986.46,995.36,39537.9,39810076.3,1000.99
1487116800,1008.19,1010.93,999.73,1008.34,23359.15,23569549.45,1006.7975
1487203200,1031.93,1040.28,1007.39,1008.19,38080.21,39114743.32,1021.9475
1487289600,1049.41,1057.39,1025.87,1031.93,45711.79,47815360.54,1041.15
1487376000,1052.28,1063.21,1044.68,1049.41,25362.02,26856521.18,1052.395
1487462400,1048.89,1056.48,1037.67,1052.28,17953.15,18876881.86,1048.83
1487548800,1077.56,1081.78,1040.99,1048.89,31010.85,32959720.15,1062.305
1487635200,1119.03,1123.03,1073.54,1077.56,57048.87,62908569.43,1098.29
1487721600,1120.46,1132.25,1094.83,1119.03,47913.31,53647453.34,1116.6425
1487808000,1171.91,1181.6,1113.54,1120.46,65737.1,75663167.44,1146.8775
1487894400,1176.49,1211.74,1092.41,1171.91,108170.88,126978010.8,1163.1375
1487980800,1149.05,1180.01,1116.21,1176.49,45860.52,53003830.46,1155.44
1488067200,1171.58,1177.47,1130.61,1149.05,30764.77,35750258.05,1157.1775
1488153600,1188.83,1195.82,1164.27,1171.58,35468.84,42035366.64,1180.125
1488240000,1189.27,1208.22,1175.75,1188.83,50579.83,60371869.57,1190.5175
1488326400,1222.66,1225.04,1154.55,1189.27,51153.83,61964760.57,1197.88
1488412800,1255.47,1286.98,1211.96,1222.66,78492.01,98040639.32,1244.2675
1488499200,1283.3,1291.35,1250.8,1255.47,67275.49,85876262.86,1270.23
1488585600,1264.32,1285.78,1228.73,1283.3,38418.2,48597934.9,1265.5325
1488672000,1271.22,1273.28,1242.1,1264.32,25430.23,32104972.38,1262.73
1488758400,1277.01,1280.61,1261,1271.22,31026.9,39591110.81,1272.46
1488844800,1232.69,1280.89,1148.66,1277.01,87722.01,108673876.5,1234.8125
1488931200,1146.97,1242.04,1136.88,1232.69,97875.25,116342973.9,1189.645
1489017600,1191.33,1206.97,1129.35,1146.97,59860.55,70427061.57,1168.655
1489104000,1112.39,1330.42,988.69,1191.33,190472.52,223836041.8,1155.7075
1489190400,1179.22,1202.69,1104.78,1112.39,70747.22,82387198.06,1149.77
1489276800,1225.11,1235.46,1160.9,1179.22,44412.09,53441762.07,1200.1725
1489363200,1238.19,1245.63,1205.61,1225.11,60460.94,74376298.14,1228.635
1489449600,1243.14,1255.52,1218.38,1238.19,45142.05,56058617.23,1238.8075
1489536000,1253.43,1256.95,1236.43,1243.14,43592.4,54486699.63,1247.4875
1489622400,1172.88,1260.24,1118.96,1253.43,132773.3,159409024.5,1201.3775
1489708800,1071.71,1174.9,1063.48,1172.88,163739,183879768.7,1120.7425
1489795200,971.38,1103.61,940.18,1071.71,210424.36,212772055.7,1021.72
1489881600,1022.6,1063.67,967.31,971.38,106444.72,108128237.8,1006.24
1489968000,1047.51,1057.5,1005.05,1022.6,61431.4,63833143.48,1033.165
1490054400,1121.29,1125.53,1043.87,1047.51,92591.27,101051998.7,1084.55
1490140800,1044.72,1121.88,997.78,1121.29,115286.08,120730492.1,1071.4175
1490227200,1035.03,1062.79,1022.02,1044.72,56517.89,58898141.13,1041.14
1490313600,939.7,1038.38,927.35,1035.03,132599.72,130042865.5,985.115
1490400000,966.3,995.96,890.43,939.7,127044.59,118395054.5,948.0975
1490486400,969.44,1004.32,946.65,966.3,85332.41,83255983.42,971.6775
1490572800,1045.14,1048.85,961.8,969.44,91256.43,92332221.14,1006.3075
1490659200,1044.42,1068.41,1015.45,1045.14,80000.9,83567551.46,1043.355
1490745600,1041.9,1058.66,1008.34,1044.42,68852.51,71261535.48,1038.33
1490832000,1037.91,1052.66,1020.93,1041.9,74984.88,77633883.53,1038.35
1490918400,1079.11,1088.2,1035.18,1037.91,90987.94,96543920.02,1060.1
1491004800,1086.12,1103.74,1067.47,1079.11,50658.36,55020078.21,1084.11
1491091200,1097.4,1109.48,1074.21,1086.12,70980.71,77853933.84,1091.8025
1491177600,1147.56,1157.87,1095.55,1097.4,98499.3,111870807.4,1124.595
